public virtual ListSpeechSynthesisTasksResponse ListSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSpeechSynthesisTasksRequestMarshaller.Instance;options.ResponseUnmarshaller = ListSpeechSynthesisTasksResponseUnmarshaller.Instance;return Invoke<ListSpeechSynthesisTasksResponse>(request, options);} ||| public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {request = beforeClientExecution(request);return executeListSpeechSynthesisTasks(request);}
public override void Start(int totalTasks){if (!IsMainThread()){throw new InvalidOperationException();}pm.Start(totalTasks);} ||| public void start(int totalTasks) {if (!isMainThread())throw new IllegalStateException();pm.start(totalTasks);}
public virtual ModifyFleetResponse ModifyFleet(ModifyFleetRequest request){var options = new InvokeOptions();options.RequestMarshaller = ModifyFleetRequestMarshaller.Instance;options.ResponseUnmarshaller = ModifyFleetResponseUnmarshaller.Instance;return Invoke<ModifyFleetResponse>(request, options);} ||| public ModifyFleetResult modifyFleet(ModifyFleetRequest request) {request = beforeClientExecution(request);return executeModifyFleet(request);}
public virtual UpdateFolderResponse UpdateFolder(UpdateFolderRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateFolderRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateFolderResponseUnmarshaller.Instance;return Invoke<UpdateFolderResponse>(request, options);} ||| public UpdateFolderResult updateFolder(UpdateFolderRequest request) {request = beforeClientExecution(request);return executeUpdateFolder(request);}
public virtual CreateAppResponse CreateApp(CreateAppRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateAppRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateAppResponseUnmarshaller.Instance;return Invoke<CreateAppResponse>(request, options);} ||| public CreateAppResult createApp(CreateAppRequest request) {request = beforeClientExecution(request);return executeCreateApp(request);}
public static DVConstraint CreateDateConstraint(int comparisonOperator, String expr1, String expr2, String dateFormat){if (expr1 == null){throw new ArgumentException("expr1 must be supplied");}OperatorType.ValidateSecondArg(comparisonOperator, expr2);SimpleDateFormat df = dateFormat == null ? null : new SimpleDateFormat(dateFormat);String formula1 = GetFormulaFromTextExpression(expr1);Double value1 = formula1 == null ? ConvertDate(expr1, df) : Double.NaN;String formula2 = GetFormulaFromTextExpression(expr2);Double value2 = formula2 == null ? ConvertDate(expr2, df) : Double.NaN;return new DVConstraint(ValidationType.DATE, comparisonOperator, formula1, formula2, value1, value2, null);} ||| public static DVConstraint createDateConstraint(int comparisonOperator, String expr1, String expr2, String dateFormat) {if (expr1 == null) {throw new IllegalArgumentException("expr1 must be supplied");}OperatorType.validateSecondArg(comparisonOperator, expr2);SimpleDateFormat df = null;if (dateFormat != null) {df = new SimpleDateFormat(dateFormat, LocaleUtil.getUserLocale());df.setTimeZone(LocaleUtil.getUserTimeZone());}String formula1 = getFormulaFromTextExpression(expr1);Double value1 = formula1 == null ? convertDate(expr1, df) : null;String formula2 = getFormulaFromTextExpression(expr2);Double value2 = formula2 == null ? convertDate(expr2, df) : null;return new DVConstraint(ValidationType.DATE, comparisonOperator, formula1, formula2, value1, value2, null);}
public override String ToString(){StringBuilder sb = new StringBuilder(64);sb.Append(GetType().Name).Append(" [");sb.Append(LookupName(_functionIndex));sb.Append(" nArgs=").Append(_numberOfArgs);sb.Append("]");return sb.ToString();} ||| public final String toString() {return getClass().getName() + " [" + lookupName(_functionIndex) + " nArgs=" + _numberOfArgs + "]";}
public virtual ModifyDefaultCreditSpecificationResponse ModifyDefaultCreditSpecification(ModifyDefaultCreditSpecificationRequest request){var options = new InvokeOptions();options.RequestMarshaller = ModifyDefaultCreditSpecificationRequestMarshaller.Instance;options.ResponseUnmarshaller = ModifyDefaultCreditSpecificationResponseUnmarshaller.Instance;return Invoke<ModifyDefaultCreditSpecificationResponse>(request, options);} ||| public ModifyDefaultCreditSpecificationResult modifyDefaultCreditSpecification(ModifyDefaultCreditSpecificationRequest request) {request = beforeClientExecution(request);return executeModifyDefaultCreditSpecification(request);}
public override Sharpen.Iterator<Note> Iterator(){try{return root.Iterator(new MutableObjectId(), reader);}catch (IOException e){throw new RuntimeException(e);}} ||| public Iterator<Note> iterator() {try {return root.iterator(new MutableObjectId(), reader);} catch (IOException e) {throw new RuntimeException(e);}}
public virtual ObjectId IdFor(TreeFormatter formatter){return formatter.ComputeId(this);} ||| public ObjectId idFor(TreeFormatter formatter) {return delegate().idFor(formatter);}
public virtual int getInputLength(){return this.inputLength;} ||| public int getInputLength() {return this.inputLength;}
public override void onInvalidated(){this._enclosing.refreshExpGroupMetadataList(true, true);this._enclosing.notifyDataSetInvalidated();} ||| public void onInvalidated() {Log.d(TAG, mSrc + ": invalidated");}
public virtual ITerminalNode AddChild(IToken matchedToken){TerminalNodeImpl t = new TerminalNodeImpl(matchedToken);AddChild(t);t.Parent = this;return t;} ||| public TerminalNode addChild(Token matchedToken) {TerminalNodeImpl t = new TerminalNodeImpl(matchedToken);addAnyChild(t);t.setParent(this);return t;}
public virtual bool IsUnknown(){return type == JapaneseTokenizerType.UNKNOWN;} ||| public boolean isUnknown() {return type == Type.UNKNOWN;}
public virtual bool PromptPassword(string msg){CredentialItem.Password p = new CredentialItem.Password(msg);if (provider.Get(uri, p)){password = new string(p.GetValue());return true;}else{password = null;return false;}} ||| public boolean promptPassword(String msg) {CredentialItem.Password p = new CredentialItem.Password(msg);if (provider.get(uri, p)) {password = new String(p.getValue());return true;}password = null;return false;}
public virtual CreateTransitGatewayResponse CreateTransitGateway(CreateTransitGatewayRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateTransitGatewayRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateTransitGatewayResponseUnmarshaller.Instance;return Invoke<CreateTransitGatewayResponse>(request, options);} ||| public CreateTransitGatewayResult createTransitGateway(CreateTransitGatewayRequest request) {request = beforeClientExecution(request);return executeCreateTransitGateway(request);}
public virtual CreateCampaignResponse CreateCampaign(CreateCampaignRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateCampaignRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateCampaignResponseUnmarshaller.Instance;return Invoke<CreateCampaignResponse>(request, options);} ||| public CreateCampaignResult createCampaign(CreateCampaignRequest request) {request = beforeClientExecution(request);return executeCreateCampaign(request);}
public ClientException(string errCode, string errMsg) : base(errCode + " : " + errMsg){ErrorCode = errCode;ErrorMessage = errMsg;ErrorType = ErrorType.Client;} ||| public ClientException(String errCode, String errMsg) {super(errCode + " : " + errMsg);this.errCode = errCode;this.errMsg = errMsg;this.setErrorType(ErrorType.Client);}
public void RemoveConditionalFormatting(int index){_conditionalFormattingTable.Remove(index);} ||| public void removeConditionalFormatting(int index) {_conditionalFormattingTable.remove(index);}
public static void fill(float[] array, float value){{for (int i = 0; i < array.Length; i++){array[i] = value;}}} ||| public static void fill(float[] array, float value) {for (int i = 0; i < array.length; i++) {array[i] = value;}}
public override TokenStream Create(TokenStream input){return dictionary == null ? input : new StemmerOverrideFilter(input, dictionary);} ||| public TokenStream create(TokenStream input) {return dictionary == null ? input : new StemmerOverrideFilter(input, dictionary);}
public virtual ListS3ResourcesResponse ListS3Resources(ListS3ResourcesRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListS3ResourcesRequestMarshaller.Instance;options.ResponseUnmarshaller = ListS3ResourcesResponseUnmarshaller.Instance;return Invoke<ListS3ResourcesResponse>(request, options);} ||| public ListS3ResourcesResult listS3Resources(ListS3ResourcesRequest request) {request = beforeClientExecution(request);return executeListS3Resources(request);}
public override string ToString(){return "'" + (char)from + "'..'" + (char)to + "'";} ||| public String toString() {return new StringBuilder("'").appendCodePoint(from).append("'..'").appendCodePoint(to).append("'").toString();}
public override java.nio.DoubleBuffer compact(){System.Array.Copy(backingArray, _position + offset, backingArray, offset, remaining());_position = _limit - _position;_limit = _capacity;_mark = UNSET_MARK;return this;} ||| public DoubleBuffer compact() {System.arraycopy(backingArray, position + offset, backingArray, offset, remaining());position = limit - position;limit = capacity;mark = UNSET_MARK;return this;}
public virtual CreatePresignedNotebookInstanceUrlResponse CreatePresignedNotebookInstanceUrl(CreatePresignedNotebookInstanceUrlRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreatePresignedNotebookInstanceUrlRequestMarshaller.Instance;options.ResponseUnmarshaller = CreatePresignedNotebookInstanceUrlResponseUnmarshaller.Instance;return Invoke<CreatePresignedNotebookInstanceUrlResponse>(request, options);} ||| public CreatePresignedNotebookInstanceUrlResult createPresignedNotebookInstanceUrl(CreatePresignedNotebookInstanceUrlRequest request) {request = beforeClientExecution(request);return executeCreatePresignedNotebookInstanceUrl(request);}
public IterationRecord(RecordInputStream in1){_flags = in1.ReadShort();} ||| public IterationRecord(RecordInputStream in) {_flags = in.readShort();}
public CreateUserInfoRequest(): base("cr", "2016-06-07", "CreateUserInfo", "cr", "openAPI"){UriPattern = "/users";Method = MethodType.PUT;} ||| public CreateUserInfoRequest() {super("cr", "2016-06-07", "CreateUserInfo", "cr");setUriPattern("/users");setMethod(MethodType.PUT);}
public void NotifyUpdatedBlankCell(BookSheetKey bsk, int rowIndex, int columnIndex, IEvaluationListener evaluationListener){if (_usedBlankCellGroup != null){if (_usedBlankCellGroup.ContainsCell(bsk, rowIndex, columnIndex)){ClearFormulaEntry();RecurseClearCachedFormulaResults(evaluationListener);}}} ||| public void notifyUpdatedBlankCell(BookSheetKey bsk, int rowIndex, int columnIndex, IEvaluationListener evaluationListener) {if (_usedBlankCellGroup != null) {if (_usedBlankCellGroup.containsCell(bsk, rowIndex, columnIndex)) {clearFormulaEntry();recurseClearCachedFormulaResults(evaluationListener);}}}
public virtual Antlr4.Runtime.Misc.IntervalSet AddAll(IIntSet set){if (set == null){return this;}if (set is Antlr4.Runtime.Misc.IntervalSet){Antlr4.Runtime.Misc.IntervalSet other = (Antlr4.Runtime.Misc.IntervalSet)set;int n = other.intervals.Count;for (int i = 0; i < n; i++){Interval I = other.intervals[i];this.Add(I.a, I.b);}}else{foreach (int value in set.ToList()){Add(value);}}return this;} ||| public IntervalSet addAll(IntSet set) {if ( set==null ) {return this;}if (set instanceof IntervalSet) {IntervalSet other = (IntervalSet)set;int n = other.intervals.size();for (int i = 0; i < n; i++) {Interval I = other.intervals.get(i);this.add(I.a,I.b);}}else {for (int value : set.toList()) {add(value);}}return this;}
public OpenStringBuilder(char[] arr, int len){Set(arr, len);} ||| public OpenStringBuilder(char[] arr, int len) {set(arr, len);}
public virtual bool IsRefLogIncludingResult(){return refLogIncludeResult;} ||| public boolean isRefLogIncludingResult() {return refLogIncludeResult;}
public HeaderFooterRecord(byte[] data){_rawData = data;} ||| public HeaderFooterRecord(byte[] data) {_rawData = data;}
public byte[] GetPath(){return Arrays.CopyOf(path, path.Length);} ||| public byte[] getPath(){return Arrays.copyOf(path, path.length);}
public override String ToString(){StringBuilder buffer = new StringBuilder();buffer.Append("[REFMODE]\n");buffer.Append("    .mode           = ").Append(StringUtil.ToHexString(Mode)).Append("\n");buffer.Append("[/REFMODE]\n");return buffer.ToString();} ||| public String toString(){StringBuilder buffer = new StringBuilder();buffer.append("[REFMODE]\n");buffer.append("    .mode           = ").append(Integer.toHexString(getMode())).append("\n");buffer.append("[/REFMODE]\n");return buffer.toString();}
public HSSFChildAnchor(){_escherChildAnchor = new EscherChildAnchorRecord();} ||| public HSSFChildAnchor() {_escherChildAnchor = new EscherChildAnchorRecord();}
public bool isRegistered(){return !canonicalName.StartsWith("x-") && !canonicalName.StartsWith("X-");} ||| public final boolean isRegistered() {return !canonicalName.startsWith("x-") && !canonicalName.startsWith("X-");}
public override bool remove(object o){lock (this._enclosing){int oldSize = this._enclosing._size;this._enclosing.remove(o);return this._enclosing._size != oldSize;}} ||| @Override public boolean remove(Object o) {if (containsKey(o)) {unfiltered.remove(o);return true;}return false;}
public static Token NewToken(int ofKind, string image){switch (ofKind){default:  return new Token(ofKind, image);}} ||| public static Token newToken(int ofKind, String image){switch(ofKind){default : return new Token(ofKind, image);}}
public virtual float OverheadPerValue(int bitsPerValue){Debug.Assert(IsSupported(bitsPerValue));return 0f;} ||| public float overheadPerValue(int bitsPerValue) {assert isSupported(bitsPerValue);final int valuesPerBlock = 64 / bitsPerValue;final int overhead = 64 % bitsPerValue;return (float) overhead / valuesPerBlock;}
public override void clear(){backingMap.clear();} ||| public void clear() {backingMap.clear();}
public CompoundException(ICollection<Exception> why) : base(Format(why)){causeList = Sharpen.Collections.UnmodifiableList(new AList<Exception>(why));} ||| public CompoundException(Collection<Throwable> why) {super(format(why));causeList = Collections.unmodifiableList(new ArrayList<>(why));}
public DeleteEnvironmentConfigurationRequest(string applicationName, string environmentName){_applicationName = applicationName;_environmentName = environmentName;} ||| public DeleteEnvironmentConfigurationRequest(String applicationName, String environmentName) {setApplicationName(applicationName);setEnvironmentName(environmentName);}
public ModifyImageAttributeRequest(string imageId, string attribute){_imageId = imageId;_attribute = attribute;} ||| public ModifyImageAttributeRequest(String imageId, String attribute) {setImageId(imageId);setAttribute(attribute);}
public LastCellOfRowDummyRecord(int row, int lastColumnNumber){this.row = row;this.lastColumnNumber = lastColumnNumber;} ||| public LastCellOfRowDummyRecord(int row, int lastColumnNumber) {this.row = row;this.lastColumnNumber = lastColumnNumber;}
public override string ToString(){return path.ToString();} ||| public String toString() {return path.toString();}
public override String ToFormulaString(String[] operands){StringBuilder buffer = new StringBuilder();buffer.Append(Add);buffer.Append(operands[0]);return buffer.ToString();} ||| public String toFormulaString(String[] operands) {StringBuilder buffer = new StringBuilder();buffer.append(ADD);buffer.append(operands[ 0]);return buffer.toString();}
public override void Abort(){Reset();try{consumer.Abort();}finally{if (nextTermsHash != null){nextTermsHash.Abort();}}} ||| public void abort() {try {reset();} finally {if (nextTermsHash != null) {nextTermsHash.abort();}}}
public virtual CreateUsagePlanKeyResponse CreateUsagePlanKey(CreateUsagePlanKeyRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateUsagePlanKeyRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateUsagePlanKeyResponseUnmarshaller.Instance;return Invoke<CreateUsagePlanKeyResponse>(request, options);} ||| public CreateUsagePlanKeyResult createUsagePlanKey(CreateUsagePlanKeyRequest request) {request = beforeClientExecution(request);return executeCreateUsagePlanKey(request);}
public bool IsOutOfBounds(int lowValidIx, int highValidIx){if (_offset < lowValidIx){return true;}if (LastIndex > highValidIx){return true;}return false;} ||| public boolean isOutOfBounds(int lowValidIx, int highValidIx) {if(_offset < lowValidIx) {return true;}if(getLastIndex() > highValidIx) {return true;}return false;}
public virtual CherryPickResult.CherryPickStatus GetStatus(){return status;} ||| public CherryPickStatus getStatus() {return status;}
public static string GetRomanization(string s){StringBuilder result = new StringBuilder();try{GetRomanization(result, s);}catch (IOException bogus){throw new Exception(bogus.ToString(), bogus);}return result.ToString();} ||| public static String getRomanization(String s) {StringBuilder out = new StringBuilder();try {getRomanization(out, s);} catch (IOException bogus) {throw new RuntimeException(bogus);}return out.toString();}
public GetDistributionRequest(string id){_id = id;} ||| public GetDistributionRequest(String id) {setId(id);}
public override string SignString(string stringToSign, string accessKeySecret){return "";} ||| public String signString(String stringToSign, String accessKeySecret) {return null;}
public override Repository Open(C req, string name){if (IsUnreasonableName(name)){throw new RepositoryNotFoundException(name);}Repository db = exports.Get(NameWithDotGit(name));if (db != null){db.IncrementOpen();return db;}foreach (FilePath @base in exportBase){FilePath dir = RepositoryCache.FileKey.Resolve(new FilePath(@base, name), FS.DETECTED);if (dir == null){continue;}try{RepositoryCache.FileKey key = RepositoryCache.FileKey.Exact(dir, FS.DETECTED);db = RepositoryCache.Open(key, true);}catch (IOException e){throw new RepositoryNotFoundException(name, e);}try{if (IsExportOk(req, name, db)){return db;}else{throw new ServiceNotEnabledException();}}catch (RuntimeException e){db.Close();throw new RepositoryNotFoundException(name, e);}catch (IOException e){db.Close();throw new RepositoryNotFoundException(name, e);}catch (ServiceNotEnabledException e){db.Close();throw;}}if (exportBase.Count == 1){FilePath dir = new FilePath(exportBase.Iterator().Next(), name);throw new RepositoryNotFoundException(name, new RepositoryNotFoundException(dir));}throw new RepositoryNotFoundException(name);} ||| public Repository open(C req, String name)throws RepositoryNotFoundException, ServiceNotEnabledException {if (isUnreasonableName(name))throw new RepositoryNotFoundException(name);Repository db = exports.get(nameWithDotGit(name));if (db != null) {db.incrementOpen();return db;}for (File base : exportBase) {File dir = FileKey.resolve(new File(base, name), FS.DETECTED);if (dir == null)continue;try {FileKey key = FileKey.exact(dir, FS.DETECTED);db = RepositoryCache.open(key, true);} catch (IOException e) {throw new RepositoryNotFoundException(name, e);}try {if (isExportOk(req, name, db)) {return db;}throw new ServiceNotEnabledException();} catch (RuntimeException | IOException e) {db.close();throw new RepositoryNotFoundException(name, e);} catch (ServiceNotEnabledException e) {db.close();throw e;}}if (exportBase.size() == 1) {File dir = new File(exportBase.iterator().next(), name);throw new RepositoryNotFoundException(name,new RepositoryNotFoundException(dir));}throw new RepositoryNotFoundException(name);}
public virtual bool addIfAbsent(E @object){lock (this){if (contains(@object)){return false;}add(@object);return true;}} ||| public synchronized boolean addIfAbsent(E object) {if (contains(object)) {return false;}add(object);return true;}
public virtual EnableTransitGatewayRouteTablePropagationResponse EnableTransitGatewayRouteTablePropagation(EnableTransitGatewayRouteTablePropagationRequest request){var options = new InvokeOptions();options.RequestMarshaller = EnableTransitGatewayRouteTablePropagationRequestMarshaller.Instance;options.ResponseUnmarshaller = EnableTransitGatewayRouteTablePropagationResponseUnmarshaller.Instance;return Invoke<EnableTransitGatewayRouteTablePropagationResponse>(request, options);} ||| public EnableTransitGatewayRouteTablePropagationResult enableTransitGatewayRouteTablePropagation(EnableTransitGatewayRouteTablePropagationRequest request) {request = beforeClientExecution(request);return executeEnableTransitGatewayRouteTablePropagation(request);}
public PatternKeywordMarkerFilter(TokenStream @in, Regex pattern): base(@in){termAtt = AddAttribute<ICharTermAttribute>();this.matcher = pattern.Match("");this.pattern = pattern;} ||| public PatternKeywordMarkerFilter(TokenStream in, Pattern pattern) {super(in);this.matcher = pattern.matcher("");}
public AddInstanceGroupsRequest(string jobFlowId, List<InstanceGroupConfig> instanceGroups){_jobFlowId = jobFlowId;_instanceGroups = instanceGroups;} ||| public AddInstanceGroupsRequest(java.util.List<InstanceGroupConfig> instanceGroups, String jobFlowId) {setInstanceGroups(instanceGroups);setJobFlowId(jobFlowId);}
public FSTTermsReader(SegmentReadState state, PostingsReaderBase postingsReader){string termsFileName = IndexFileNames.SegmentFileName(state.SegmentInfo.Name, state.SegmentSuffix, FSTTermsWriter.TERMS_EXTENSION);this.postingsReader = postingsReader;IndexInput @in = state.Directory.OpenInput(termsFileName, state.Context);bool success = false;try{version = ReadHeader(@in);if (version >= FSTTermsWriter.TERMS_VERSION_CHECKSUM){CodecUtil.ChecksumEntireFile(@in);}this.postingsReader.Init(@in);SeekDir(@in);FieldInfos fieldInfos = state.FieldInfos;int numFields = @in.ReadVInt32();for (int i = 0; i < numFields; i++){int fieldNumber = @in.ReadVInt32();FieldInfo fieldInfo = fieldInfos.FieldInfo(fieldNumber);long numTerms = @in.ReadVInt64();long sumTotalTermFreq = fieldInfo.IndexOptions == IndexOptions.DOCS_ONLY ? -1 : @in.ReadVInt64();long sumDocFreq = @in.ReadVInt64();int docCount = @in.ReadVInt32();int longsSize = @in.ReadVInt32();TermsReader current = new TermsReader(this, fieldInfo, @in, numTerms, sumTotalTermFreq, sumDocFreq, docCount, longsSize);TermsReader previous;fields.TryGetValue(fieldInfo.Name, out previous);fields[fieldInfo.Name] = current;CheckFieldSummary(state.SegmentInfo, @in, current, previous);}success = true;}finally{if (success){IOUtils.Dispose(@in);}else{IOUtils.DisposeWhileHandlingException(@in);}}} ||| public FSTTermsReader(SegmentReadState state, PostingsReaderBase postingsReader) throws IOException {final String termsFileName = IndexFileNames.segmentFileName(state.segmentInfo.name, state.segmentSuffix, FSTTermsWriter.TERMS_EXTENSION);this.postingsReader = postingsReader;final IndexInput in = state.directory.openInput(termsFileName, state.context);boolean success = false;try {CodecUtil.checkIndexHeader(in, FSTTermsWriter.TERMS_CODEC_NAME,FSTTermsWriter.TERMS_VERSION_START,FSTTermsWriter.TERMS_VERSION_CURRENT,state.segmentInfo.getId(), state.segmentSuffix);CodecUtil.checksumEntireFile(in);this.postingsReader.init(in, state);seekDir(in);final FieldInfos fieldInfos = state.fieldInfos;final int numFields = in.readVInt();for (int i = 0; i < numFields; i++) {int fieldNumber = in.readVInt();FieldInfo fieldInfo = fieldInfos.fieldInfo(fieldNumber);long numTerms = in.readVLong();long sumTotalTermFreq = in.readVLong();long sumDocFreq = fieldInfo.getIndexOptions() == IndexOptions.DOCS ? sumTotalTermFreq : in.readVLong();int docCount = in.readVInt();TermsReader current = new TermsReader(fieldInfo, in, numTerms, sumTotalTermFreq, sumDocFreq, docCount);TermsReader previous = fields.put(fieldInfo.name, current);checkFieldSummary(state.segmentInfo, in, current, previous);}success = true;} finally {if (success) {IOUtils.close(in);} else {IOUtils.closeWhileHandlingException(in);}}}
public virtual DescribeVpcEndpointsResponse DescribeVpcEndpoints(DescribeVpcEndpointsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeVpcEndpointsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeVpcEndpointsResponseUnmarshaller.Instance;return Invoke<DescribeVpcEndpointsResponse>(request, options);} ||| public DescribeVpcEndpointsResult describeVpcEndpoints(DescribeVpcEndpointsRequest request) {request = beforeClientExecution(request);return executeDescribeVpcEndpoints(request);}
public virtual void SetNewPrefix(string prefix){newPrefix = prefix;} ||| public void setNewPrefix(String prefix) {newPrefix = prefix;}
public GetHostedZoneRequest(string id){_id = id;} ||| public GetHostedZoneRequest(String id) {setId(id);}
public virtual IList<FilePath> GetUpdatedFiles(){return updatedFiles;} ||| public List<File> getUpdatedFiles() {return updatedFiles;}
public DeleteDhcpOptionsRequest(string dhcpOptionsId){_dhcpOptionsId = dhcpOptionsId;} ||| public DeleteDhcpOptionsRequest(String dhcpOptionsId) {setDhcpOptionsId(dhcpOptionsId);}
public virtual QueryPhraseMap GetTermMap(string term){QueryPhraseMap result;subMap.TryGetValue(term, out result);return result;} ||| public QueryPhraseMap getTermMap( String term ){return subMap.get( term );}
public virtual PutConfigurationSetDeliveryOptionsResponse PutConfigurationSetDeliveryOptions(PutConfigurationSetDeliveryOptionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = PutConfigurationSetDeliveryOptionsRequestMarshaller.Instance;options.ResponseUnmarshaller = PutConfigurationSetDeliveryOptionsResponseUnmarshaller.Instance;return Invoke<PutConfigurationSetDeliveryOptionsResponse>(request, options);} ||| public PutConfigurationSetDeliveryOptionsResult putConfigurationSetDeliveryOptions(PutConfigurationSetDeliveryOptionsRequest request) {request = beforeClientExecution(request);return executePutConfigurationSetDeliveryOptions(request);}
public ChartRecord(RecordInputStream in1){field_1_x = in1.ReadInt();field_2_y = in1.ReadInt();field_3_width = in1.ReadInt();field_4_height = in1.ReadInt();} ||| public ChartRecord(RecordInputStream in) {field_1_x = in.readInt();field_2_y = in.readInt();field_3_width = in.readInt();field_4_height = in.readInt();}
public virtual ListTaskDefinitionsResponse ListTaskDefinitions(ListTaskDefinitionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListTaskDefinitionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListTaskDefinitionsResponseUnmarshaller.Instance;return Invoke<ListTaskDefinitionsResponse>(request, options);} ||| public ListTaskDefinitionsResult listTaskDefinitions(ListTaskDefinitionsRequest request) {request = beforeClientExecution(request);return executeListTaskDefinitions(request);}
public virtual string GetRawPath(){return rawPath;} ||| public String getRawPath() {return rawPath;}
public IndexRecord(RecordInputStream in1){field_1_zero = in1.ReadInt();if (field_1_zero != 0){throw new RecordFormatException("Expected zero for field 1 but got " + field_1_zero);}field_2_first_row = in1.ReadInt();field_3_last_row_add1 = in1.ReadInt();field_4_zero = in1.ReadInt();int nCells = in1.Remaining / 4;field_5_dbcells =new IntList(nCells);   for (int i = 0; i < nCells; i++){field_5_dbcells.Add(in1.ReadInt());}} ||| public IndexRecord(RecordInputStream in) {int field_1_zero          = in.readInt();if (field_1_zero != 0) {throw new RecordFormatException("Expected zero for field 1 but got " + field_1_zero);}field_2_first_row     = in.readInt();field_3_last_row_add1 = in.readInt();field_4_zero      = in.readInt();int nCells = in.remaining() / 4;field_5_dbcells = new IntList(nCells);for(int i=0; i<nCells; i++) {field_5_dbcells.add(in.readInt());}}
public virtual System.Type enumType(){return _enumType;} ||| public Class<? extends Enum> enumType() {return enumType;}
public bool IsSupportedType(int variantType){for (int i = 0; i < SUPPORTED_TYPES.Length; i++)if (variantType == SUPPORTED_TYPES[i])return true;return false;} ||| public boolean isSupportedType(final int variantType) {for (int st : SUPPORTED_TYPES) {if (variantType == st) {return true;}}return false;}
public virtual PersonIdent GetSourceCommitter(int idx){return sourceCommitters[idx];} ||| public PersonIdent getSourceCommitter(int idx) {return sourceCommitters[idx];}
public RemoveTagsRequest(string resourceId, List<string> tagKeys){_resourceId = resourceId;_tagKeys = tagKeys;} ||| public RemoveTagsRequest(String resourceId, java.util.List<String> tagKeys) {setResourceId(resourceId);setTagKeys(tagKeys);}
public override String ToString(){StringBuilder buffer = new StringBuilder();buffer.Append("[ENDBLOCK]\n");buffer.Append("    .rt         =").Append(HexDump.ShortToHex(rt)).Append('\n');buffer.Append("    .grbitFrt   =").Append(HexDump.ShortToHex(grbitFrt)).Append('\n');buffer.Append("    .iObjectKind=").Append(HexDump.ShortToHex(iObjectKind)).Append('\n');buffer.Append("    .unused     =").Append(HexDump.ToHex(unused)).Append('\n');buffer.Append("[/ENDBLOCK]\n");return buffer.ToString();} ||| public String toString() {StringBuilder buffer = new StringBuilder();buffer.append("[ENDBLOCK]\n");buffer.append("    .rt         =").append(HexDump.shortToHex(rt)).append('\n');buffer.append("    .grbitFrt   =").append(HexDump.shortToHex(grbitFrt)).append('\n');buffer.append("    .iObjectKind=").append(HexDump.shortToHex(iObjectKind)).append('\n');buffer.append("    .unused     =").append(HexDump.toHex(unused)).append('\n');buffer.append("[/ENDBLOCK]\n");return buffer.toString();}
public virtual int Stem(char[] text, int length, bool stemDerivational){flags = 0;numSyllables = 0;for (int i = 0; i < length; i++){if (IsVowel(text[i])){numSyllables++;}}if (numSyllables > 2){length = RemoveParticle(text, length);}if (numSyllables > 2){length = RemovePossessivePronoun(text, length);}if (stemDerivational){length = StemDerivational(text, length);}return length;} ||| public int stem(char text[], int length, boolean stemDerivational) {flags = 0;numSyllables = 0;for (int i = 0; i < length; i++)if (isVowel(text[i]))numSyllables++;if (numSyllables > 2) length = removeParticle(text, length);if (numSyllables > 2) length = removePossessivePronoun(text, length);if (stemDerivational)length = stemDerivational(text, length);return length;}
public override long ComputeNorm(FieldInvertState state){float numTerms;if (discountOverlaps){numTerms = state.Length - state.NumOverlap;}else{numTerms = state.Length;}return EncodeNormValue(state.Boost, numTerms);} ||| public final long computeNorm(FieldInvertState state) {final int numTerms;if (state.getIndexOptions() == IndexOptions.DOCS && state.getIndexCreatedVersionMajor() >= 8) {numTerms = state.getUniqueTermCount();} else if (discountOverlaps) {numTerms = state.getLength() - state.getNumOverlap();} else {numTerms = state.getLength();}return SmallFloat.intToByte4(numTerms);}
